Finished setup, waiting to start, PID: p:0.30 i(x100):0.03 d(x10):10
UPLoading
csdt0
csdt1000
csdt4000
csdt10000
csdt12000
csdt15000
0.00 4.00 2.00 10.00 5.00 0.00 0.00 
0 1000 4000 10000 12000 15000 20000 
1401 x:0.06 y:0.16 z:1.05 acc:1.06 inst:3.73 dt:10 timee:4000 pComp:0.80 iComp:0.27 dComp:-0.00 FF:0.40 PID:1.15
1411 x:0.06 y:0.16 z:1.07 acc:1.08 inst:3.73 dt:10 timee:4000 pComp:0.79 iComp:0.27 dComp:-0.00 FF:0.40 PID:1.15
1420 x:0.06 y:0.16 z:1.07 acc:1.08 inst:3.72 dt:9 timee:4000 pComp:0.79 iComp:0.27 dComp:-0.00 FF:0.40 PID:1.15
1430 x:0.06 y:0.15 z:1.07 acc:1.08 inst:3.71 dt:10 timee:4000 pComp:0.79 iComp:0.27 dComp:-0.00 FF:0.40 PID:1.15
1440 x:0.06 y:0.15 z:1.07 acc:1.08 inst:3.71 dt:10 timee:4000 pComp:0.79 iComp:0.27 dComp:-0.00 FF:0.40 PID:1.15
1450 x:0.06 y:0.15 z:1.07 acc:1.08 inst:3.70 dt:10 timee:4000 pComp:0.79 iComp:0.27 dComp:-0.00 FF:0.40 PID:1.15
1459 x:0.12 y:0.20 z:1.04 acc:1.07 inst:3.69 dt:9 timee:4000 pComp:0.79 iComp:0.27 dComp:0.00 FF:0.40 PID:1.15
1468 x:0.12 y:0.20 z:1.04 acc:1.07 inst:3.69 dt:9 timee:4000 pComp:0.79 iComp:0.27 dComp:-0.00 FF:0.40 PID:1.15
1478 x:0.09 y:0.20 z:1.05 acc:1.07 inst:3.68 dt:10 timee:4000 pComp:0.78 iComp:0.27 dComp:-0.00 FF:0.40 PID:1.15
1488 x:0.09 y:0.20 z:1.05 acc:1.07 inst:3.67 dt:10 timee:4000 pComp:0.78 iComp:0.27 dComp:-0.00 FF:0.40 PID:1.15
1498 x:0.09 y:0.20 z:1.05 acc:1.07 inst:3.67 dt:10 timee:4000 pComp:0.78 iComp:0.27 dComp:-0.00 FF:0.40 PID:1.15
1507 x:0.08 y:0.20 z:1.06 acc:1.08 inst:3.66 dt:9 timee:4000 pComp:0.77 iComp:0.27 dComp:-0.00 FF:0.40 PID:1.15
1516 x:0.08 y:0.20 z:1.06 acc:1.08 inst:3.66 dt:9 timee:4000 pComp:0.77 iComp:0.27 dComp:-0.00 FF:0.40 PID:1.15
1527 x:0.09 y:0.19 z:1.06 acc:1.08 inst:3.65 dt:11 timee:4000 pComp:0.77 iComp:0.27 dComp:-0.00 FF:0.40 PID:1.15
