Finished setup, waiting to start, PID: p:0 i(x100):0 d(x10):0
UPLoading
csdt0
csdt1000
csdt4000
csdt10000
csdt12000
csdt15000
1.10 4.00 2.00 10.00 5.00 0.00 0.00 
 x:42.74 p:3.99 dt:0.18 a:27.49 c1:401.39 c2:7.35 c3:-397.42
 x:42.43 p:3.99 dt:0.18 a:27.49 c1:389.78 c2:6.41 c3:-397.42
 x:42.74 p:3.99 dt:0.18 a:27.49 c1:401.39 c2:7.35 c3:-397.42
 x:42.59 p:3.99 dt:0.18 a:27.49 c1:395.56 c2:6.87 c3:-397.42
 x:42.43 p:3.99 dt:0.18 a:27.49 c1:389.78 c2:6.41 c3:-397.42
 x:42.59 p:3.99 dt:0.18 a:27.49 c1:395.56 c2:6.87 c3:-397.42
 x:42.51 p:3.99 dt:0.18 a:27.49 c1:392.66 c2:6.64 c3:-397.42
 x:42.43 p:3.99 dt:0.18 a:27.49 c1:389.78 c2:6.41 c3:-397.42
 x:42.51 p:3.99 dt:0.18 a:27.49 c1:392.66 c2:6.64 c3:-397.42
 x:42.47 p:3.99 dt:0.18 a:27.49 c1:391.22 c2:6.52 c3:-397.42
 x:42.43 p:3.99 dt:0.18 a:27.49 c1:389.78 c2:6.41 c3:-397.42
 x:42.47 p:3.99 dt:0.18 a:27.49 c1:391.22 c2:6.52 c3:-397.42
 x:42.45 p:3.99 dt:0.18 a:27.49 c1:390.50 c2:6.46 c3:-397.42
 x:42.45 p:3.99 dt:0.18 a:27.49 c1:390.50 c2:6.46 c3:-397.42
 x:42.47 p:3.99 dt:0.18 a:27.49 c1:391.22 c2:6.52 c3:-397.42
 x:42.46 p:3.99 dt:0.18 a:27.49 c1:390.86 c2:6.49 c3:-397.42
 x:42.46 p:3.99 dt:0.18 a:27.49 c1:390.86 c2:6.49 c3:-397.42
 x:42.47 p:3.99 dt:0.18 a:27.49 c1:391.22 c2:6.52 c3:-397.42
==================42.46
587 x:0.07 y:0.21 z:1.06 acc:1.08 inst:2.80 dt:181 timee:1000 pComp:0.00 iComp:0.00 dComp:0.00 FF:1.33 PID:1.33
 x:42.46 p:4.45 dt:0.18 a:32.61 c1:390.86 c2:0.00 c3:-561.40
 x:52.46 p:4.45 dt:0.18 a:32.61 c1:910.79 c2:33.85 c3:-561.40
 x:47.46 p:4.45 dt:0.18 a:32.61 c1:610.12 c2:8.46 c3:-561.40
 x:42.46 p:4.45 dt:0.18 a:32.61 c1:390.86 c2:0.00 c3:-561.40
 x:47.46 p:4.45 dt:0.18 a:32.61 c1:610.12 c2:8.46 c3:-561.40
 x:44.96 p:4.45 dt:0.18 a:32.61 c1:491.37 c2:2.12 c3:-561.40
 x:44.96 p:4.45 dt:0.18 a:32.61 c1:491.37 c2:2.12 c3:-561.40
 x:47.46 p:4.45 dt:0.18 a:32.61 c1:610.12 c2:8.46 c3:-561.40
 x:46.21 p:4.45 dt:0.18 a:32.61 c1:548.34 c2:4.76 c3:-561.40
 x:46.21 p:4.45 dt:0.18 a:32.61 c1:548.34 c2:4.76 c3:-561.40
 x:47.46 p:4.45 dt:0.18 a:32.61 c1:610.12 c2:8.46 c3:-561.40
 x:46.83 p:4.45 dt:0.18 a:32.61 c1:578.61 c2:6.48 c3:-561.40
 x:46.21 p:4.45 dt:0.18 a:32.61 c1:548.34 c2:4.76 c3:-561.40
 x:46.83 p:4.45 dt:0.18 a:32.61 c1:578.61 c2:6.48 c3:-561.40
 x:46.52 p:4.45 dt:0.18 a:32.61 c1:563.32 c2:5.59 c3:-561.40
