Finished setup, waiting to start, PID: p:0.30 i(x100):0.03 d(x10):10
UPLoading
csdt0
csdt1000
csdt4000
csdt10000
csdt12000
0.00 4.00 2.00 10.00 5.00 150000.00 0.00 
0 1000 4000 10000 12000 17000 0 
UPLoading
csdt0
csdt1000
csdt4000
csdt10000
csdt12000
csdt15000
0.00 4.00 2.00 10.00 5.00 150000.00 0.00 4.00 2.00 10.00 5.00 0.00 0.00 
0 1000 4000 10000 12000 17000 0 1000 4000 10000 12000 15000 20000 
Finished setup, waiting to start, PID: p:0.30 i(x100):0.03 d(x10):10
UPLoading
csdt0
csdt1000
csdt4000
csdt10000
csdt12000
csdt15000
0.00 4.00 2.00 10.00 5.00 0.00 0.00 
0 1000 4000 10000 12000 15000 20000 
952 x:0.06 y:0.23 z:1.07 acc:1.10 inst:3.81 dt:9 timee:1000 pComp:0.81 iComp:0.23 dComp:0.00 FF:0.38 PID:1.42
961 x:0.10 y:0.18 z:1.07 acc:1.09 inst:3.84 dt:9 timee:1000 pComp:0.82 iComp:0.24 dComp:0.00 FF:0.38 PID:1.45
970 x:0.10 y:0.18 z:1.07 acc:1.09 inst:3.88 dt:9 timee:1000 pComp:0.84 iComp:0.24 dComp:0.00 FF:0.39 PID:1.47
981 x:0.10 y:0.18 z:1.08 acc:1.10 inst:3.92 dt:11 timee:1000 pComp:0.85 iComp:0.25 dComp:0.00 FF:0.39 PID:1.50
990 x:0.10 y:0.18 z:1.08 acc:1.10 inst:3.96 dt:9 timee:1000 pComp:0.86 iComp:0.26 dComp:0.00 FF:0.40 PID:1.52
999 x:0.10 y:0.18 z:1.08 acc:1.10 inst:4.00 dt:9 timee:1000 pComp:0.87 iComp:0.27 dComp:0.00 FF:0.40 PID:1.54
1008 x:0.08 y:0.21 z:1.08 acc:1.10 inst:3.99 dt:9 timee:4000 pComp:0.87 iComp:0.27 dComp:0.00 FF:0.40 PID:1.54
1018 x:0.08 y:0.21 z:1.08 acc:1.10 inst:3.99 dt:10 timee:4000 pComp:0.87 iComp:0.27 dComp:-0.00 FF:0.40 PID:1.54
1028 x:0.09 y:0.21 z:1.08 acc:1.10 inst:3.98 dt:10 timee:4000 pComp:0.86 iComp:0.27 dComp:-0.00 FF:0.40 PID:1.54
1038 x:0.09 y:0.21 z:1.08 acc:1.10 inst:3.97 dt:10 timee:4000 pComp:0.86 iComp:0.27 dComp:-0.00 FF:0.40 PID:1.54
