Finished setup, waiting to start
UPLoading
1.10 1.20 3.00 1.20 5.00 2.00 4.00 0.00 
0 5000 10000 15000 20000 25000 30000 35000 
594 x:0.06 y:0.20 z:1.10 acc:1.11 inst:1.11 dt:10 timee:5000 pComp:-0.00 iComp:0.00 dComp:0.00 PID:0.00
603 x:0.09 y:0.19 z:1.07 acc:1.09 inst:1.11 dt:9 timee:5000 pComp:0.01 iComp:0.00 dComp:0.00 PID:0.01
611 x:0.09 y:0.19 z:1.07 acc:1.09 inst:1.11 dt:8 timee:5000 pComp:0.01 iComp:0.00 dComp:0.00 PID:0.01
620 x:0.09 y:0.19 z:1.07 acc:1.09 inst:1.11 dt:9 timee:5000 pComp:0.01 iComp:0.00 dComp:0.00 PID:0.01
629 x:0.10 y:0.19 z:1.07 acc:1.09 inst:1.11 dt:9 timee:5000 pComp:0.01 iComp:0.00 dComp:0.00 PID:0.01
638 x:0.10 y:0.19 z:1.07 acc:1.09 inst:1.11 dt:9 timee:5000 pComp:0.01 iComp:0.00 dComp:0.00 PID:0.01
646 x:0.10 y:0.19 z:1.07 acc:1.09 inst:1.11 dt:8 timee:5000 pComp:0.01 iComp:0.00 dComp:0.00 PID:0.01
655 x:0.10 y:0.16 z:1.10 acc:1.11 inst:1.11 dt:9 timee:5000 pComp:0.00 iComp:0.00 dComp:-0.00 PID:0.00
663 x:0.10 y:0.16 z:1.10 acc:1.11 inst:1.11 dt:8 timee:5000 pComp:0.00 iComp:0.00 dComp:0.00 PID:0.00
673 x:0.09 y:0.16 z:1.11 acc:1.13 inst:1.11 dt:10 timee:5000 pComp:-0.00 iComp:0.00 dComp:-0.00 PID:0.00
682 x:0.09 y:0.16 z:1.11 acc:1.13 inst:1.11 dt:9 timee:5000 pComp:-0.00 iComp:0.00 dComp:0.00 PID:0.00
690 x:0.09 y:0.16 z:1.11 acc:1.13 inst:1.11 dt:8 timee:5000 pComp:-0.00 iComp:0.00 dComp:0.00 PID:0.00
699 x:0.08 y:0.20 z:1.08 acc:1.10 inst:1.11 dt:9 timee:5000 pComp:0.00 iComp:0.00 dComp:0.00 PID:0.01
708 x:0.08 y:0.20 z:1.08 acc:1.10 inst:1.11 dt:9 timee:5000 pComp:0.00 iComp:0.00 dComp:0.00 PID:0.01
717 x:0.08 y:0.20 z:1.08 acc:1.10 inst:1.11 dt:9 timee:5000 pComp:0.00 iComp:0.00 dComp:0.00 PID:0.01
726 x:0.05 y:0.20 z:1.05 acc:1.08 inst:1.11 dt:9 timee:5000 pComp:0.01 iComp:0.00 dComp:0.00 PID:0.02
734 x:0.05 y:0.20 z:1.05 acc:1.08 inst:1.11 dt:8 timee:5000 pComp:0.01 iComp:0.00 dComp:0.00 PID:0.01
743 x:0.05 y:0.20 z:1.05 acc:1.08 inst:1.11 dt:9 timee:5000 pComp:0.01 iComp:0.00 dComp:0.00 PID:0.01
752 x:0.07 y:0.20 z:1.05 acc:1.08 inst:1.12 dt:9 timee:5000 pComp:0.01 iComp:0.00 dComp:0.00 PID:0.01
761 x:0.07 y:0.20 z:1.05 acc:1.08 inst:1.12 dt:9 timee:5000 pComp:0.01 iComp:0.00 dComp:0.00 PID:0.01
770 x:0.09 y:0.22 z:1.08 acc:1.10 inst:1.12 dt:9 timee:5000 pComp:0.00 iComp:0.00 dComp:-0.00 PID:0.00
778 x:0.09 y:0.22 z:1.08 acc:1.10 inst:1.12 dt:8 timee:5000 pComp:0.00 iComp:0.00 dComp:0.00 PID:0.01
787 x:0.09 y:0.22 z:1.08 acc:1.10 inst:1.12 dt:9 timee:5000 pComp:0.00 iComp:0.00 dComp:0.00 PID:0.01
795 x:0.08 y:0.23 z:1.07 acc:1.09 inst:1.12 dt:8 timee:5000 pComp:0.01 iComp:0.00 dComp:0.00 PID:0.01
805 x:0.08 y:0.23 z:1.07 acc:1.09 inst:1.12 dt:10 timee:5000 pComp:0.01 iComp:0.00 dComp:0.00 PID:0.01
813 x:0.08 y:0.23 z:1.07 acc:1.09 inst:1.12 dt:8 timee:5000 pComp:0.01 iComp:0.00 dComp:0.00 PID:0.01
822 x:0.07 y:0.22 z:1.06 acc:1.09 inst:1.12 dt:9 timee:5000 pComp:0.01 iComp:0.00 dComp:0.00 PID:0.01
830 x:0.07 y:0.22 z:1.06 acc:1.09 inst:1.12 dt:8 timee:5000 pComp:0.01 iComp:0.00 dComp:0.00 PID:0.01
839 x:0.07 y:0.22 z:1.06 acc:1.09 inst:1.12 dt:9 timee:5000 pComp:0.01 iComp:0.00 dComp:0.00 PID:0.01
849 x:0.08 y:0.21 z:1.06 acc:1.08 inst:1.12 dt:10 timee:5000 pComp:0.01 iComp:0.00 dComp:0.00 PID:0.01
857 x:0.08 y:0.21 z:1.06 acc:1.08 inst:1.12 dt:8 timee:5000 pComp:0.01 iComp:0.00 dComp:0.00 PID:0.01
866 x:0.10 y:0.20 z:1.06 acc:1.08 inst:1.12 dt:9 timee:5000 pComp:0.01 iComp:0.00 dComp:0.00 PID:0.01
874 x:0.10 y:0.20 z:1.06 acc:1.08 inst:1.12 dt:8 timee:5000 pComp:0.01 iComp:0.00 dComp:0.00 PID:0.01
883 x:0.10 y:0.20 z:1.06 acc:1.08 inst:1.12 dt:9 timee:5000 pComp:0.01 iComp:0.00 dComp:0.00 PID:0.01
893 x:0.09 y:0.24 z:1.06 acc:1.09 inst:1.12 dt:10 timee:5000 pComp:0.01 iComp:0.00 dComp:-0.00 PID:0.01
901 x:0.09 y:0.24 z:1.06 acc:1.09 inst:1.12 dt:8 timee:5000 pComp:0.01 iComp:0.00 dComp:0.00 PID:0.01
910 x:0.09 y:0.24 z:1.06 acc:1.09 inst:1.12 dt:9 timee:5000 pComp:0.01 iComp:0.00 dComp:0.00 PID:0.01
918 x:0.08 y:0.23 z:1.06 acc:1.09 inst:1.12 dt:8 timee:5000 pComp:0.01 iComp:0.00 dComp:0.00 PID:0.01
928 x:0.08 y:0.23 z:1.06 acc:1.09 inst:1.12 dt:10 timee:5000 pComp:0.01 iComp:0.00 dComp:0.00 PID:0.01
936 x:0.08 y:0.23 z:1.06 acc:1.09 inst:1.12 dt:8 timee:5000 pComp:0.01 iComp:0.00 dComp:0.00 PID:0.01
945 x:0.08 y:0.25 z:1.04 acc:1.07 inst:1.12 dt:9 timee:5000 pComp:0.01 iComp:0.00 dComp:0.00 PID:0.02
953 x:0.08 y:0.25 z:1.04 acc:1.07 inst:1.12 dt:8 timee:5000 pComp:0.01 iComp:0.00 dComp:0.00 PID:0.02
962 x:0.09 y:0.22 z:11 iComp:0.00 dComp:-0.00 PID:0.02
972 x:0.09 y:0.22 z:1.05 acc:1.08 inst:1.12 dt:10 timee:5000 pComp:0.01 iComp:0.00 dComp:0.00 PID:0.02
980 x:0.09 y:0.22 z:1.05 acc:1.08 inst:1.12 dt:8 timee:5000 pComp:0.01 iComp:0.00 dComp:0.00 PID:0.02.05 acc:1.08 inst:1.12 dt:9 timee:5000 pComp:0.0
989 x:0.08 y:0.24 z:1.07 acc:1.10 inst:1.12 dt:9 timee:5000 pComp:0.01 iComp:0.00 dComp:-0.00 PID:0.01
997 x:0.08 y:0.24 z:1.07 acc:1.10 inst:1.12 dt:8 timee:5000 pComp:0.01 iComp:0.00 dComp:0.00 PID:0.01
1006 x:0.08 y:0.24 z:1.07 acc:1.10 inst:1.12 dt:9 timee:5000 pComp:0.01 iComp:0.00 dComp:0.00 PID:0.01
1016 x:0.10 y:0.18 z:1.10 acc:1.11 inst:1.12 dt:10 timee:5000 pComp:0.00 iComp:0.00 dComp:-0.00 PID:0.00
1024 x:0.10 y:0.18 z:1.10 acc:1.11 inst:1.12 dt:8 timee:5000 pComp:0.00 iComp:0.00 dComp:0.00 PID:0.01
1033 x:0.10 y:0.18 z:1.10 acc:1.11 inst:1.12 dt:9 timee:5000 pComp:0.00 iComp:0.00 dComp:0.00 PID:0.01
1042 x:0.09 y:0.19 z:1.06 acc:1.08 inst:1.12 dt:9 timee:5000 pComp:0.01 iComp:0.00 dComp:0.00 PID:0.02
1050 x:0.09 y:0.19 z:1.06 acc:1.08 inst:1.12 dt:8 timee:5000 pComp:0.01 iComp:0.00 dComp:0.00 PID:0.02
1060 x:0.09 y:0.19 z:1.06 acc:1.08 inst:1.12 dt:10 timee:5000 pComp:0.01 iComp:0.01 dComp:0.00 PID:0.02
1069 x:0.09 y:0.18 z:1.05 acc:1.07 inst:1.12 dt:9 timee:5000 pComp:0.02 iComp:0.01 dComp:0.00 PID:0.02
1077 x:0.09 y:0.18 z:1.05 acc:1.07 inst:1.12 dt:8 timee:5000 pComp:0.02 iComp:0.01 dComp:0.00 PID:0.02
1086 x:0.09 y:0.18 z:1.05 acc:1.07 inst:1.12 dt:9 timee:5000 pComp:0.02 iComp:0.01 dComp:0.00 PID:0.02
1095 x:0.12 y:0.17 z:1.07 acc:1.09 inst:1.12 dt:9 timee:5000 pComp:0.01 iComp:0.01 dComp:-0.00 PID:0.01
1104 x:0.12 y:0.17 z:1.07 acc:1.09 inst:1.12 dt:9 timee:5000 pComp:0.01 iComp:0.01 dComp:0.00 PID:0.01
1113 x:0.12 y:0.15 z:1.07 acc:1.09 inst:1.12 dt:9 timee:5000 pComp:0.01 iComp:0.01 dComp:0.00 PID:0.01
1122 x:0.12 y:0.15 z:1.07 acc:1.09 inst:1.12 dt:9 timee:5000 pComp:0.01 iComp:0.01 dComp:0.00 PID:0.02
1130 x:0.12 y:0.15 z:1.07 acc:1.09 inst:1.12 dt:8 timee:5000 pComp:0.01 iComp:0.01 dComp:0.00 PID:0.02
1139 x:0.08 y:0.18 z:1.04 acc:1.06 inst:1.12 dt:9 timee:5000 pComp:0.02 iComp:0.01 dComp:0.00 PID:0.03
1148 x:0.08 y:0.18 z:1.04 acc:1.06 inst:1.12 dt:9 timee:5000 pComp:0.02 iComp:0.01 dComp:0.00 PID:0.02
1157 x:0.08 y:0.18 z:1.04 acc:1.06 inst:1.12 dt:9 timee:5000 pComp:0.02 iComp:0.01 dComp:0.00 PID:0.02
1166 x:0.07 y:0.18 z:1.05 acc:1.07 inst:1.12 dt:9 timee:5000 pComp:0.02 iComp:0.01 dComp:-0.00 PID:0.02
1174 x:0.07 y:0.18 z:1.05 acc:1.07 inst:1.12 dt:8 timee:5000 pComp:0.02 iComp:0.01 dComp:0.00 PID:0.02
1184 x:0.07 y:0.18 z:1.05 acc:1.07 inst:1.12 dt:10 timee:5000 pComp:0.02 iComp:0.01 dComp:0.00 PID:0.02
1193 x:0.08 y:0.20 z:1.09 acc:1.11 inst:1.12 dt:9 timee:5000 pComp:0.00 iComp:0.01 dComp:-0.00 PID:0.01
1202 x:0.08 y:0.20 z:1.09 acc:1.11 inst:1.12 dt:9 timee:5000 pComp:0.00 iComp:0.01 dComp:0.00 PID:0.01
1210 x:0.07 y:0.21 z:1.08 acc:1.10 inst:1.12 dt:8 timee:5000 pComp:0.01 iComp:0.01 dComp:0.00 PID:0.01
1219 x:0.07 y:0.21 z:1.08 acc:1.10 inst:1.12 dt:9 timee:5000 pComp:0.01 iComp:0.01 dComp:0.00 PID:0.01
1228 x:0.07 y:0.21 z:1.08 acc:1.10 inst:1.12 dt:9 timee:5000 pComp:0.01 iComp:0.01 dComp:0.00 PID:0.01
1237 x:0.09 y:0.19 z:1.06 acc:1.08 inst:1.12 dt:9 timee:5000 pComp:0.01 iComp:0.01 dComp:0.00 PID:0.02
1246 x:0.09 y:0.19 z:1.06 acc:1.08 inst:1.12 dt:9 timee:5000 pComp:0.01 iComp:0.01 dComp:0.00 PID:0.02
1254 x:0.09 y:0.19 z:1.06 acc:1.08 inst:1.13 dt:8 timee:5000 pComp:0.01 iComp:0.01 dComp:0.00 PID:0.02
1263 x:0.10 y:0.18 z:1.05 acc:1.07 inst:1.13 dt:9 timee:5000 pComp:0.02 iComp:0.01 dComp:0.00 PID:0.03
1273 x:0.10 y:0.18 z:1.05 acc:1.07 inst:1.13 dt:10 timee:5000 pComp:0.02 iComp:0.01 dComp:0.00 PID:0.02
1281 x:0.10 y:0.18 z:1.05 acc:1.07 inst:1.13 dt:8 timee:5000 pComp:0.02 iComp:0.01 dComp:0.00 PID:0.03
1290 x:0.10 y:0.19 z:1.06 acc:1.08 inst:1.13 dt:9 timee:5000 pComp:0.01 iComp:0.01 dComp:-0.00 PID:0.02
1299 x:0.10 y:0.19 z:1.06 acc:1.08 inst:1.13 dt:9 timee:5000 pComp:0.01 iComp:0.01 dComp:0.00 PID:0.02
1307 x:0.08 y:0.21 z:1.07 acc:1.09 inst:1.13 dt:8 timee:5000 pComp:0.01 iComp:0.01 dComp:-0.00 PID:0.02
