C:\Users\User\Documents\Arduino\CentrifugeV2MotorArduino\mcp4725_voltage\mcp4725_voltage.ino
MCP4725_VERSION: 0.4.0

Voltage:	0.00


33500ms, 580.00RPM, 253.73avgRPM, 0.56V MTR_ENA NOT BRAKINGx[0.05] y[0.36] z[1.41] mag[1.45] 32.11 degrees
34000ms, 600.00RPM, 258.82avgRPM, 0.56V MTR_ENA NOT BRAKINGx[0.09] y[0.43] z[1.35] mag[1.42] 27.37 degrees
34500ms, 590.00RPM, 263.62avgRPM, 0.56V MTR_ENA NOT BRAKINGx[0.05] y[0.42] z[1.28] mag[1.35] 23.98 degrees
35000ms, 560.00RPM, 267.86avgRPM, 0.56V MTR_ENA NOT BRAKINGx[0.00] y[0.45] z[1.35] mag[1.42] 26.92 degrees
35500ms, 575.00RPM, 272.18avgRPM, 0.56V MTR_ENA NOT BRAKINGx[0.07] y[0.44] z[1.37] mag[1.44] 28.00 degrees
36000ms, 550.00RPM, 276.04avgRPM, 0.56V MTR_ENA NOT BRAKINGx[0.06] y[0.45] z[1.43] mag[1.50] 30.51 degrees
36500ms, 610.00RPM, 280.62avgRPM, 0.56V MTR_ENA NOT BRAKINGx[0.03] y[0.42] z[1.45] mag[1.50] 32.26 degrees
37000ms, 580.00RPM, 284.66avgRPM, 0.56V MTR_ENA NOT BRAKINGx[0.08] y[0.43] z[1.34] mag[1.41] 26.72 degrees
37500ms, 570.00RPM, 288.47avgRPM, 0.56V MTR_ENA NOT BRAKINGx[0.03] y[0.43] z[1.31] mag[1.38] 25.53 degrees
38000ms, 550.00RPM, 291.91avgRPM, 0.56V MTR_ENA NOT BRAKINGx[0.05] y[0.42] z[1.33] mag[1.40] 26.88 degrees
38500ms, 610.00RPM, 296.04avgRPM, 0.56V MTR_ENA NOT BRAKINGx[0.04] y[0.43] z[1.38] mag[1.45] 28.82 degrees
39000ms, 590.00RPM, 299.81avgRPM, 0.56V MTR_ENA NOT BRAKINGx[0.07] y[0.46] z[1.38] mag[1.46] 27.96 degrees
39500ms, 580.00RPM, 303.35avgRPM, 0.56V MTR_ENA NOT BRAKINGx[0.01] y[0.38] z[1.31] mag[1.36] 26.46 degrees
40000ms, 580.00RPM, 306.81avgRPM, 0.56V MTR_ENA NOT BRAKINGx[0.01] y[0.43] z[1.35] mag[1.42] 27.42 degrees
40500ms, 585.00RPM, 310.25avgRPM, 0.56V MTR_ENA NOT BRAKINGx[0.02] y[0.43] z[1.30] mag[1.37] 24.89 degrees
41000ms, 570.00RPM, 313.41avgRPM, 0.56V MTR_ENA NOT BRAKINGx[0.03] y[0.45] z[1.41] mag[1.48] 30.00 degrees
41500ms, 560.00RPM, 316.39avgRPM, 0.56V MTR_ENA NOT BRAKINGx[-0.02] y[0.37] z[1.39] mag[1.44] 30.86 degrees
42000ms, 580.00RPM, 319.52avgRPM, 0.56V MTR_ENA NOT BRAKINGx[0.02] y[0.45] z[1.42] mag[1.49] 30.38 degrees
42500ms, 570.00RPM, 322.47avgRPM, 0.56V MTR_ENA NOT BRAKINGx[0.07] y[0.42] z[1.37] mag[1.43] 28.71 degrees
43000ms, 570.00RPM, 325.35avgRPM, 0.56V MTR_ENA NOT BRAKINGx[0.11] y[0.42] z[1.38] mag[1.45] 29.31 degrees
43500ms, 605.00RPM, 328.56avgRPM, 0.56V MTR_ENA NOT BRAKINGx[0.01] y[0.43] z[1.37] mag[1.43] 28.31 degrees
44000ms, 560.00RPM, 331.19avgRPM, 0.56V MTR_ENA NOT BRAKINGx[0.04] y[0.43] z[1.39] mag[1.45] 29.30 degrees
44500ms, 560.00RPM, 333.76avgRPM, 0.56V MTR_ENA NOT BRAKINGx[0.02] y[0.46] z[1.37] mag[1.44] 27.39 degrees
45000ms, 570.00RPM, 336.39avgRPM, 0.56V MTR_ENA NOT BRAKINGx[0.07] y[0.43] z[1.33] mag[1.40] 26.72 degrees
45500ms, 595.00RPM, 339.23avgRPM, 0.56V MTR_ENA NOT BRAKINGx[0.05] y[0.44] z[1.28] mag[1.36] 23.43 degrees
46000ms, 550.00RPM, 341.52avgRPM, 0.56V MTR_ENA NOT BRAKINGx[0.08] y[0.44] z[1.31] mag[1.39] 25.23 degrees
46500ms, 555.00RPM, 343.82avgRPM, 0.56V MTR_ENA NOT BRAKINGx[0.01] y[0.45] z[1.38] mag[1.45] 28.16 degrees
