Finished setup, waiting to start, PID: p:0.02 i(x100):0.30 d(x10):0.01 iCap:100
UPLoading
1.00 3.00 8.00 4.00 10.00 1.00 1.00 
0 5000 10000 15000 20000 30000 35000 
UPLoading
1.00 3.00 8.00 4.00 10.00 1.00 1.00 
0 5000 10000 15000 20000 30000 35000 
NO_BS[nan]0 acc:1.09 inst:0.00 dt:0 pComp:-0.02 iComp:0.00 dComp:inf FF:nan PID:nan BRK_EN:DIS MTR_EN:YES
NO_BS[0.07]673 acc:1.09 inst:1.27 dt:9 pComp:0.00 iComp:0.00 dComp:0.00 FF:0.07 PID:0.08 BRK_EN:DIS MTR_EN:YES
NO_BS[0.07]683 acc:1.07 inst:1.27 dt:10 pComp:0.00 iComp:0.00 dComp:0.00 FF:0.07 PID:0.08 BRK_EN:DIS MTR_EN:YES
NO_BS[0.07]692 acc:1.07 inst:1.28 dt:9 pComp:0.00 iComp:0.00 dComp:0.00 FF:0.07 PID:0.08 BRK_EN:DIS MTR_EN:YES
NO_BS[0.07]702 acc:1.07 inst:1.28 dt:10 pComp:0.00 iComp:0.00 dComp:0.00 FF:0.07 PID:0.08 BRK_EN:DIS MTR_EN:YES
NO_BS[0.07]712 acc:1.08 inst:1.28 dt:10 pComp:0.00 iComp:0.00 dComp:-0.00 FF:0.07 PID:0.08 BRK_EN:DIS MTR_EN:YES
NO_BS[0.07]721 acc:1.08 inst:1.29 dt:9 pComp:0.00 iComp:0.00 dComp:0.00 FF:0.07 PID:0.08 BRK_EN:DIS MTR_EN:YES
NO_BS[0.07]730 acc:1.11 inst:1.29 dt:9 pComp:0.00 iComp:0.00 dComp:-0.00 FF:0.07 PID:0.07 BRK_EN:DIS MTR_EN:YES
NO_BS[0.07]740 acc:1.11 inst:1.30 dt:10 pComp:0.00 iComp:0.00 dComp:0.00 FF:0.07 PID:0.08 BRK_EN:DIS MTR_EN:YES
NO_BS[0.07]750 acc:1.11 inst:1.30 dt:10 pComp:0.00 iComp:0.00 dComp:0.00 FF:0.07 PID:0.08 BRK_EN:DIS MTR_EN:YES
NO_BS[0.07]760 acc:1.11 inst:1.30 dt:10 pComp:0.00 iComp:0.00 dComp:0.00 FF:0.07 PID:0.08 BRK_EN:DIS MTR_EN:YES
NO_BS[0.07]769 acc:1.11 inst:1.31 dt:9 pComp:0.00 iComp:0.00 dComp:0.00 FF:0.07 PID:0.08 BRK_EN:DIS MTR_EN:YES
NO_BS[0.07]778 acc:1.08 inst:1.31 dt:9 pComp:0.00 iComp:0.00 dComp:0.00 FF:0.07 PID:0.08 BRK_EN:DIS MTR_EN:YES
NO_BS[0.07]788 acc:1.08 inst:1.32 dt:10 pComp:0.00 iComp:0.00 dComp:0.00 FF:0.07 PID:0.08 BRK_EN:DIS MTR_EN:YES
NO_BS[0.07]798 acc:1.08 inst:1.32 dt:10 pComp:0.00 iComp:0.00 dComp:0.00 FF:0.07 PID:0.08 BRK_EN:DIS MTR_EN:YES
NO_BS[0.07]807 acc:1.08 inst:1.32 dt:9 pComp:0.00 iComp:0.00 dComp:0.00 FF:0.07 PID:0.08 BRK_EN:DIS MTR_EN:YES
NO_BS[0.07]816 acc:1.08 inst:1.33 dt:9 pComp:0.01 iComp:0.00 dComp:0.00 FF:0.07 PID:0.08 BRK_EN:DIS MTR_EN:YES
NO_BS[0.07]826 acc:1.08 inst:1.33 dt:10 pComp:0.00 iComp:0.00 dComp:-0.00 FF:0.07 PID:0.08 BRK_EN:DIS MTR_EN:YES
NO_BS[0.07]836 acc:1.08 inst:1.33 dt:10 pComp:0.00 iComp:0.00 dComp:0.00 FF:0.07 PID:0.08 BRK_EN:DIS MTR_EN:YES
NO_BS[0.07]846 acc:1.08 inst:1.34 dt:10 pComp:0.01 iComp:0.00 dComp:0.00 FF:0.07 PID:0.08 BRK_EN:DIS MTR_EN:YES
NO_BS[0.07]855 acc:1.09 inst:1.34 dt:9 pComp:0.01 iComp:0.00 dComp:-0.00 FF:0.07 PID:0.08 BRK_EN:DIS MTR_EN:YES
NO_BS[0.07]864 acc:1.09 inst:1.35 dt:9 pComp:0.01 iComp:0.00 dComp:0.00 FF:0.07 PID:0.08 BRK_EN:DIS MTR_EN:YES
NO_BS[0.07]875 acc:1.09 inst:1.35 dt:11 pComp:0.01 iComp:0.00 dComp:0.00 FF:0.07 PID:0.08 BRK_EN:DIS MTR_EN:YES
NO_BS[0.07]884 acc:1.09 inst:1.35 dt:9 pComp:0.01 iComp:0.00 dComp:0.00 FF:0.07 PID:0.08 BRK_EN:DIS MTR_EN:YES
NO_BS[0.07]893 acc:1.09 inst:1.36 dt:9 pComp:0.01 iComp:0.00 dComp:0.00 FF:0.07 PID:0.08 BRK_EN:DIS MTR_EN:YES
NO_BS[0.07]903 acc:1.09 inst:1.36 dt:10 pComp:0.01 iComp:0.00 dComp:0.00 FF:0.07 PID:0.08 BRK_EN:DIS MTR_EN:YES
NO_BS[0.07]912 acc:1.09 inst:1.36 dt:9 pComp:0.01 iComp:0.00 dComp:0.00 FF:0.07 PID:0.08 BRK_EN:DIS MTR_EN:YES
NO_BS[0.07]922 acc:1.09 inst:1.37 dt:10 pComp:0.01 iComp:0.00 dComp:0.00 FF:0.07 PID:0.08 BRK_EN:DIS MTR_EN:YES
NO_BS[0.07]932 acc:1.08 inst:1.37 dt:10 pComp:0.01 iComp:0.00 dComp:0.00 FF:0.07 PID:0.08 BRK_EN:DIS MTR_EN:YES
NO_BS[0.07]941 acc:1.08 inst:1.38 dt:9 pComp:0.01 iComp:0.00 dComp:0.00 FF:0.07 PID:0.08 BRK_EN:DIS MTR_EN:YES
NO_BS[0.07]951 acc:1.08 inst:1.38 dt:10 pComp:0.01 iComp:0.00 dComp:0.00 FF:0.07 PID:0.08 BRK_EN:DIS MTR_EN:YES
NO_BS[0.07]961 acc:1.08 inst:1.38 dt:10 pComp:0.01 iComp:0.00 dComp:0.00 FF:0.07 PID:0.08 BRK_EN:DIS MTR_EN:YES
NO_BS[0.07]970 acc:1.08 inst:1.39 dt:9 pComp:0.01 iComp:0.00 dComp:0.00 FF:0.07 PID:0.08 BRK_EN:DIS MTR_EN:YES
NO_BS[0.07]980 acc:1.09 inst:1.39 dt:10 pComp:0.01 iComp:0.00 dComp:-0.00 FF:0.07 PID:0.08 BRK_EN:DIS MTR_EN:YES
NO_BS[0.07]989 acc:1.09 inst:1.40 dt:9 pComp:0.01 iComp:0.00 dComp:0.00 FF:0.07 PID:0.08 BRK_EN:DIS MTR_EN:YES
NO_BS[0.07]999 acc:1.08 inst:1.40 dt:10 pComp:0.01 iComp:0.00 dComp:0.00 FF:0.07 PID:0.08 BRK_EN:DIS MTR_EN:YES
NO_BS[0.07]1009 acc:1.08 inst:1.40 dt:10 pComp:0.01 iComp:0.00 dComp:0.00 FF:0.07 PID:0.08 BRK_EN:DIS MTR_EN:YES
NO_BS[0.07]1018 acc:1.08 inst:1.41 dt:9 pComp:0.01 iComp:0.00 dComp:0.00 FF:0.07 PID:0.08 BRK_EN:DIS MTR_EN:YES
NO_BS[0.07]1028 acc:1.08 inst:1.41 dt:10 pComp:0.01 iComp:0.00 dComp:0.00 FF:0.07 PID:0.08 BRK_EN:DIS MTR_EN:YES
NO_BS[0.07]1037 acc:1.08 inst:1.41 dt:9 pComp:0.01 iComp:0.00 dComp:0.00 FF:0.07 PID:0.08 BRK_EN:DIS MTR_EN:YES
NO_BS[0.07]1047 acc:1.09 inst:1.42 dt:10 pComp:0.01 iComp:0.00 dComp:-0.00 FF:0.07 PID:0.08 BRK_EN:DIS MTR_EN:YES
NO_BS[0.07]1057 acc:1.09 inst:1.42 dt:10 pComp:0.01 iComp:0.00 dComp:0.00 FF:0.07 PID:0.08 BRK_EN:DIS MTR_EN:YES
NO_BS[0.07]1066 acc:1.09 inst:1.43 dt:9 pComp:0.01 iComp:0.00 dComp:0.00 FF:0.07 PID:0.08 BRK_EN:DIS MTR_EN:YES
NO_BS[0.07]1076 acc:1.11 inst:1.43 dt:10 pComp:0.01 iComp:0.00 dComp:-0.00 FF:0.07 PID:0.08 BRK_EN:DIS MTR_EN:YES
NO_BS[0.07]1086 acc:1.11 inst:1.43 dt:10 pComp:0.01 iComp:0.00 dComp:0.00 FF:0.07 PID:0.08 BRK_EN:DIS MTR_EN:YES
NO_BS[0.07]1096 acc:1.09 inst:1.44 dt:10 pComp:0.01 iComp:0.00 dComp:0.00 FF:0.07 PID:0.08 BRK_EN:DIS MTR_EN:YES
NO_BS[0.07]1105 acc:1.09 inst:1.44 dt:9 pComp:0.01 iComp:0.00 dComp:0.00 FF:0.07 PID:0.08 BRK_EN:DIS MTR_EN:YES
NO_BS[0.07]1114 acc:1.09 inst:1.45 dt:9 pComp:0.01 iComp:0.00 dComp:0.00 FF:0.07 PID:0.08 BRK_EN:DIS MTR_EN:YES
NO_BS[0.07]1124 acc:1.07 inst:1.45 dt:10 pComp:0.01 iComp:0.00 dComp:0.00 FF:0.07 PID:0.08 BRK_EN:DIS MTR_EN:YES
NO_BS[0.07]1134 acc:1.07 inst:1.45 dt:10 pComp:0.01 iComp:0.00 dComp:0.00 FF:0.07 PID:0.08 BRK_EN:DIS MTR_EN:YES
