0.00RPM, 21.18avgRPM, 0.00V MTR_DIS NOT BRAKING
0.00RPM, 21.09avgRPM, 0.00V MTR_DIS NOT BRAKING
0.00RPM, 20.99avgRPM, 0.00V MTR_DIS NOT BRAKING
0.00RPM, 20.90avgRPM, 0.00V MTR_DIS NOT BRAKING
0.00RPM, 20.80avgRPM, 0.00V MTR_DIS NOT BRAKING
0.00RPM, 20.71avgRPM, 0.00V MTR_DIS NOT BRAKING
0.00RPM, 20.62avgRPM, 0.00V MTR_DIS NOT BRAKING
0.00RPM, 20.53avgRPM, 0.00V MTR_DIS NOT BRAKING
0.00RPM, 20.44avgRPM, 0.00V MTR_DIS NOT BRAKING
0.00RPM, 20.35avgRPM, 0.00V MTR_DIS NOT BRAKING
0.00RPM, 20.26avgRPM, 0.00V MTR_DIS NOT BRAKING
0.00RPM, 20.17avgRPM, 0.00V MTR_DIS NOT BRAKING
0.00RPM, 20.09avgRPM, 0.00V MTR_DIS NOT BRAKING
0.00RPM, 20.00avgRPM, 0.00V MTR_DIS NOT BRAKING
0.00RPM, 19.91avgRPM, 0.00V MTR_DIS NOT BRAKING
0.00RPM, 19.83avgRPM, 0.00V MTR_DIS NOT BRAKING
0.00RPM, 19.75avgRPM, 0.00V MTR_DIS NOT BRAKING
0.00RPM, 19.66avgRPM, 0.00V MTR_DIS NOT BRAKING
0.00RPM, 19.58avgRPM, 0.00V MTR_DIS NOT BRAKING
0.00RPM, 19.50avgRPM, 0.00V MTR_DIS NOT BRAKING
0.00RPM, 19.42avgRPM, 0.00V MTR_DIS NOT BRAKING
0.00RPM, 19.34avgRPM, 0.00V MTR_DIS NOT BRAKING
0.00RPM, 19.26avgRPM, 0.00V MTR_DIS NOT BRAKING
0.00RPM, 19.18avgRPM, 0.00V MTR_DIS NOT BRAKING
0.00RPM, 19.10avgRPM, 0.00V MTR_DIS NOT BRAKING
0.00RPM, 19.02avgRPM, 0.00V MTR_DIS NOT BRAKING
0.00RPM, 18.94avgRPM, 0.00V MTR_DIS NOT BRAKING
0.00RPM, 18.87avgRPM, 0.00V MTR_DIS NOT BRAKING
0.00RPM, 18.79avgRPM, 0.00V MTR_DIS NOT BRAKING
0.00RPM, 18.71avgRPM, 0.00V MTR_DIS NOT BRAKING
0.00RPM, 18.64avgRPM, 0.00V MTR_DIS NOT BRAKING
0.00RPM, 18.57avgRPM, 0.00V MTR_DIS NOT BRAKING
0.00RPM, 18.49avgRPM, 0.00V MTR_DIS NOT BRAKING
0.00RPM, 18.42avgRPM, 0.00V MTR_DIS NOT BRAKING
0.00RPM, 18.35avgRPM, 0.00V MTR_DIS NOT BRAKING
0.00RPM, 18.27avgRPM, 0.00V MTR_DIS NOT BRAKING
0.00RPM, 18.20avgRPM, 0.00V MTR_DIS NOT BRAKING
0.00RPM, 18.13avgRPM, 0.00V MTR_DIS NOT BRAKING
0.00RPM, 18.06avgRPM, 0.00V MTR_DIS NOT BRAKING
0.00RPM, 17.99avgRPM, 0.00V MTR_DIS NOT BRAKING
0.00RPM, 17.92avgRPM, 0.00V MTR_DIS NOT BRAKING
0.00RPM, 17.85avgRPM, 0.00V MTR_DIS NOT BRAKING
0.00RPM, 17.79avgRPM, 0.00V MTR_DIS NOT BRAKING
0.00RPM, 17.72avgRPM, 0.00V MTR_DIS NOT BRAKING
0.00RPM, 17.65avgRPM, 0.00V MTR_DIS NOT BRAKING
0.00RPM, 17.58avgRPM, 0.00V MTR_DIS NOT BRAKING
0.00RPM, 17.52avgRPM, 0.00V MTR_DIS NOT BRAKING
0.00RPM, 17.45avgRPM, 0.00V MTR_DIS NOT BRAKING
0.00RPM, 17.39avgRPM, 0.00V MTR_DIS NOT BRAKING
0.00RPM, 17.32avgRPM, 0.00V MTR_DIS NOT BRAKING
0.00RPM, 17.26avgRPM, 0.00V MTR_DIS NOT BRAKING
0.00RPM, 17.20avgRPM, 0.00V MTR_DIS NOT BRAKING
0.00RPM, 17.13avgRPM, 0.00V MTR_DIS NOT BRAKING
0.00RPM, 17.07avgRPM, 0.00V MTR_DIS NOT BRAKING
0.00RPM, 17.01avgRPM, 0.00V MTR_DIS NOT BRAKING
0.00RPM, 16.95avgRPM, 0.00V MTR_DIS NOT BRAKING
0.00RPM, 16.88avgRPM, 0.00V MTR_DIS NOT BRAKING
0.00RPM, 16.82avgRPM, 0.00V MTR_DIS NOT BRAKING
0.00RPM, 16.76avgRPM, 0.00V MTR_DIS NOT BRAKING
0.00RPM, 16.70avgRPM, 0.00V MTR_DIS NOT BRAKING
0.00RPM, 16.64avgRPM, 0.00V MTR_DIS NOT BRAKING
0.00RPM, 16.58avgRPM, 0.00V MTR_DIS NOT BRAKING
0.00RPM, 16.52avgRPM, 0.00V MTR_DIS NOT BRAKING
0.00RPM, 16.47avgRPM, 0.00V MTR_DIS NOT BRAKING
0.00RPM, 16.41avgRPM, 0.00V MTR_DIS NOT BRAKING
0.00RPM, 16.35avgRPM, 0.00V MTR_DIS NOT BRAKING
0.00RPM, 16.29avgRPM, 0.00V MTR_DIS NOT BRAKING
0.00RPM, 16.24avgRPM, 0.00V MTR_DIS NOT BRAKING
0.00RPM, 16.18avgRPM, 0.00V MTR_DIS NOT BRAKING
0.00RPM, 16.12avgRPM, 0.00V MTR_DIS NOT BRAKING
0.00RPM, 16.07avgRPM, 0.00V MTR_DIS NOT BRAKING
0.00RPM, 16.01avgRPM, 0.00V MTR_DIS NOT BRAKING
0.00RPM, 15.96avgRPM, 0.00V MTR_DIS NOT BRAKING
0.00RPM, 15.90avgRPM, 0.00V MTR_DIS NOT BRAKING
0.00RPM, 15.85avgRPM, 0.00V MTR_DIS NOT BRAKING
0.00RPM, 15.80avgRPM, 0.00V MTR_DIS NOT BRAKING
0.00RPM, 15.74avgRPM, 0.00V MTR_DIS NOT BRAKING
0.00RPM, 15.69avgRPM, 0.00V MTR_DIS NOT BRAKING
0.00RPM, 15.64avgRPM, 0.00V MTR_DIS NOT BRAKING
0.00RPM, 15.59avgRPM, 0.00V MTR_DIS NOT BRAKING
0.00RPM, 15.53avgRPM, 0.00V MTR_DIS NOT BRAKING
0.00RPM, 15.48avgRPM, 0.00V MTR_DIS NOT BRAKING
0.00RPM, 15.43avgRPM, 0.00V MTR_DIS NOT BRAKING
0.00RPM, 15.38avgRPM, 0.00V MTR_DIS NOT BRAKING
0.00RPM, 15.33avgRPM, 0.00V MTR_DIS NOT BRAKING
0.00RPM, 15.28avgRPM, 0.00V MTR_DIS NOT BRAKING
0.00RPM, 15.23avgRPM, 0.00V MTR_DIS NOT BRAKING
0.00RPM, 15.18avgRPM, 0.00V MTR_DIS NOT BRAKING
0.00RPM, 15.13avgRPM, 0.00V MTR_DIS NOT BRAKING
0.00RPM, 15.08avgRPM, 0.00V MTR_DIS NOT BRAKING
0.00RPM, 15.03avgRPM, 0.00V MTR_DIS NOT BRAKING
0.00RPM, 14.98avgRPM, 0.00V MTR_DIS NOT BRAKING
0.00RPM, 14.94avgRPM, 0.00V MTR_DIS NOT BRAKING
0.00RPM, 14.89avgRPM, 0.00V MTR_DIS NOT BRAKING
0.00RPM, 14.84avgRPM, 0.00V MTR_DIS NOT BRAKING
0.00RPM, 14.79avgRPM, 0.00V MTR_DIS NOT BRAKING
0.00RPM, 14.75avgRPM, 0.00V MTR_DIS NOT BRAKING
0.00RPM, 14.70avgRPM, 0.00V MTR_DIS NOT BRAKING
0.00RPM, 14.65avgRPM, 0.00V MTR_DIS NOT BRAKING
0.00RPM, 14.61avgRPM, 0.00V MTR_DIS NOT BRAKING
0.00RPM, 14.56avgRPM, 0.00V MTR_DIS NOT BRAKING
0.00RPM, 14.52avgRPM, 0.00V MTR_DIS NOT BRAKING
0.00RPM, 14.47avgRPM, 0.00V MTR_DIS NOT BRAKING
0.00RPM, 14.43avgRPM, 0.00V MTR_DIS NOT BRAKING
0.00RPM, 14.38avgRPM, 0.00V MTR_DIS NOT BRAKING
0.00RPM, 14.34avgRPM, 0.00V MTR_DIS NOT BRAKING
0.00RPM, 14.29avgRPM, 0.00V MTR_DIS NOT BRAKING
0.00RPM, 14.25avgRPM, 0.00V MTR_DIS NOT BRAKING
0.00RPM, 14.21avgRPM, 0.00V MTR_DIS NOT BRAKING
0.00RPM, 14.16avgRPM, 0.00V MTR_DIS NOT BRAKING
0.00RPM, 14.12avgRPM, 0.00V MTR_DIS NOT BRAKING
0.00RPM, 14.08avgRPM, 0.00V MTR_DIS NOT BRAKING
0.00RPM, 14.04avgRPM, 0.00V MTR_DIS NOT BRAKING
0.00RPM, 13.99avgRPM, 0.00V MTR_DIS NOT BRAKING
0.00RPM, 13.95avgRPM, 0.00V MTR_DIS NOT BRAKING
0.00RPM, 13.91avgRPM, 0.00V MTR_DIS NOT BRAKING
0.00RPM, 13.87avgRPM, 0.00V MTR_DIS NOT BRAKING
0.00RPM, 13.83avgRPM, 0.00V MTR_DIS NOT BRAKING
0.00RPM, 13.79avgRPM, 0.00V MTR_DIS NOT BRAKING
0.00RPM, 13.75avgRPM, 0.00V MTR_DIS NOT BRAKING
0.00RPM, 13.71avgRPM, 0.00V MTR_DIS NOT BRAKING
0.00RPM, 13.67avgRPM, 0.00V MTR_DIS NOT BRAKING
0.00RPM, 13.63avgRPM, 0.00V MTR_DIS NOT BRAKING
0.00RPM, 13.59avgRPM, 0.00V MTR_DIS NOT BRAKING
