Finished setup, waiting to start, PID: p:0.30 i(x100):0.03 d(x10):10
UPLoading
csdt0
csdt2000
0.00 1.56 100000000.00 0.00 
0 2000 7000 0 
Finished setup, waiting to start, PID: p:0.30 i(x100):0.03 d(x10):10
UPLoading
csdt0
csdt2000
csdt10000000
0.00 1.56 1.56 0.00 
0 2000 10000000 10005000 
1103 x:-0.18 y:-0.47 z:1.10 acc:1.21 inst:0.86 dt:9 timee:2000 pComp:-0.11 iComp:-0.24 dComp:-0.01 PID:0.00
1112 x:-0.18 y:-0.47 z:1.10 acc:1.21 inst:0.87 dt:9 timee:2000 pComp:-0.10 iComp:-0.24 dComp:0.00 PID:0.00
1121 x:-0.18 y:-0.47 z:1.10 acc:1.21 inst:0.87 dt:9 timee:2000 pComp:-0.10 iComp:-0.24 dComp:0.00 PID:0.00
1131 x:-0.29 y:-0.17 z:1.17 acc:1.21 inst:0.88 dt:10 timee:2000 pComp:-0.10 iComp:-0.24 dComp:0.00 PID:0.00
1140 x:-0.29 y:-0.17 z:1.17 acc:1.21 inst:0.89 dt:9 timee:2000 pComp:-0.10 iComp:-0.24 dComp:0.00 PID:0.00
1149 x:-0.26 y:-0.44 z:1.16 acc:1.26 inst:0.90 dt:9 timee:2000 pComp:-0.11 iComp:-0.24 dComp:-0.00 PID:0.00
1158 x:-0.26 y:-0.44 z:1.16 acc:1.26 inst:0.90 dt:9 timee:2000 pComp:-0.11 iComp:-0.24 dComp:0.00 PID:0.00
1167 x:-0.26 y:-0.44 z:1.16 acc:1.26 inst:0.91 dt:9 timee:2000 pComp:-0.11 iComp:-0.25 dComp:0.00 PID:0.00
1177 x:-0.29 y:-0.86 z:1.17 acc:1.48 inst:0.92 dt:10 timee:2000 pComp:-0.17 iComp:-0.25 dComp:-0.02 PID:0.00
1186 x:-0.29 y:-0.86 z:1.17 acc:1.48 inst:0.93 dt:9 timee:2000 pComp:-0.17 iComp:-0.25 dComp:0.00 PID:0.00
1195 x:-0.29 y:-0.86 z:1.17 acc:1.48 inst:0.93 dt:9 timee:2000 pComp:-0.16 iComp:-0.25 dComp:0.00 PID:0.00
1204 x:-0.40 y:-0.69 z:1.20 acc:1.44 inst:0.94 dt:9 timee:2000 pComp:-0.15 iComp:-0.25 dComp:0.01 PID:0.00
1213 x:-0.40 y:-0.69 z:1.20 acc:1.44 inst:0.95 dt:9 timee:2000 pComp:-0.15 iComp:-0.25 dComp:0.00 PID:0.00
1223 x:-0.49 y:-0.53 z:1.24 acc:1.43 inst:0.95 dt:10 timee:2000 pComp:-0.14 iComp:-0.25 dComp:0.00 PID:0.00
