Finished setup, waiting to start, PID: p:0.30 i(x100):0.03 d(x10):10
UPLoading
0.00 
5000 
Finished setup, waiting to start, PID: p:0.30 i(x100):0.03 d(x10):10
UPLoading
csdt0
csdt1000
csdt4000
csdt10000
csdt12000
csdt15000
0.00 4.00 2.00 10.00 5.00 0.00 0.00 
0 1000 4000 10000 12000 15000 20000 
912 x:0.08 y:0.17 z:1.07 acc:1.09 inst:3.65 dt:9 timee:1000 pComp:0.77 iComp:0.20 dComp:0.00 FF:0.35 PID:0.97
921 x:0.08 y:0.18 z:1.05 acc:1.07 inst:3.68 dt:9 timee:1000 pComp:0.78 iComp:0.21 dComp:0.01 FF:0.36 PID:1.00
930 x:0.08 y:0.18 z:1.05 acc:1.07 inst:3.72 dt:9 timee:1000 pComp:0.79 iComp:0.22 dComp:0.00 FF:0.36 PID:1.01
939 x:0.08 y:0.18 z:1.05 acc:1.07 inst:3.76 dt:9 timee:1000 pComp:0.80 iComp:0.22 dComp:0.00 FF:0.37 PID:1.03
950 x:0.08 y:0.20 z:1.05 acc:1.07 inst:3.80 dt:11 timee:1000 pComp:0.82 iComp:0.23 dComp:0.00 FF:0.37 PID:1.05
959 x:0.08 y:0.20 z:1.05 acc:1.07 inst:3.84 dt:9 timee:1000 pComp:0.83 iComp:0.24 dComp:0.00 FF:0.38 PID:1.07
968 x:0.08 y:0.20 z:1.05 acc:1.07 inst:3.87 dt:9 timee:1000 pComp:0.84 iComp:0.25 dComp:0.00 FF:0.38 PID:1.09
977 x:0.10 y:0.14 z:1.09 acc:1.10 inst:3.91 dt:9 timee:1000 pComp:0.84 iComp:0.25 dComp:0.00 FF:0.39 PID:1.10
988 x:0.10 y:0.14 z:1.09 acc:1.10 inst:3.95 dt:11 timee:1000 pComp:0.86 iComp:0.26 dComp:0.00 FF:0.40 PID:1.12
997 x:0.11 y:0.12 z:1.09 acc:1.10 inst:3.99 dt:9 timee:1000 pComp:0.87 iComp:0.27 dComp:0.00 FF:0.40 PID:1.14
1006 x:0.11 y:0.12 z:1.09 acc:1.10 inst:4.00 dt:9 timee:4000 pComp:0.87 iComp:0.27 dComp:0.00 FF:0.40 PID:1.14
1015 x:0.11 y:0.12 z:1.09 acc:1.10 inst:3.99 dt:9 timee:4000 pComp:0.87 iComp:0.27 dComp:-0.00 FF:0.40 PID:1.14
1025 x:0.09 y:0.16 z:1.08 acc:1.09 inst:3.98 dt:10 timee:4000 pComp:0.87 iComp:0.27 dComp:0.00 FF:0.40 PID:1.14
1035 x:0.09 y:0.16 z:1.08 acc:1.09 inst:3.98 dt:10 timee:4000 pComp:0.86 iComp:0.27 dComp:-0.00 FF:0.40 PID:1.14
1045 x:0.09 y:0.18 z:1.06 acc:1.08 inst:3.97 dt:10 timee:4000 pComp:0.87 iComp:0.27 dComp:0.00 FF:0.40 PID:1.14
1054 x:0.09 y:0.18 z:1.06 acc:1.08 inst:3.96 dt:9 timee:4000 pComp:0.86 iComp:0.27 dComp:-0.00 FF:0.40 PID:1.14
1063 x:0.09 y:0.18 z:1.06 acc:1.08 inst:3.96 dt:9 timee:4000 pComp:0.86 iComp:0.27 dComp:-0.00 FF:0.40 PID:1.14
