Finished setup, waiting to start, PID: p:0.02 i(x100):0.30 d(x10):0.01 iCap:100
UPLoading
1.00 3.00 8.00 4.00 10.00 1.00 1.00 
0 5000 10000 15000 20000 30000 35000 
NO_BS[0.60]1210 acc:1.19 inst:1.48 dt:10 pComp:0.01 iComp:0.00 dComp:0.00 FF:0.60 PID:0.61 BRK_EN:DIS MTR_EN:YES
NO_BS[0.60]1219 acc:1.19 inst:1.49 dt:9 pComp:0.01 iComp:0.00 dComp:0.00 FF:0.60 PID:0.61 BRK_EN:DIS MTR_EN:YES
NO_BS[0.60]1229 acc:1.19 inst:1.49 dt:10 pComp:0.01 iComp:0.00 dComp:0.00 FF:0.60 PID:0.61 BRK_EN:DIS MTR_EN:YES
NO_BS[0.60]1238 acc:1.16 inst:1.50 dt:9 pComp:0.01 iComp:0.00 dComp:0.00 FF:0.60 PID:0.62 BRK_EN:DIS MTR_EN:YES
NO_BS[0.61]1249 acc:1.16 inst:1.50 dt:11 pComp:0.01 iComp:0.00 dComp:0.00 FF:0.61 PID:0.61 BRK_EN:DIS MTR_EN:YES
NO_BS[0.61]1258 acc:1.19 inst:1.50 dt:9 pComp:0.01 iComp:0.00 dComp:-0.00 FF:0.61 PID:0.61 BRK_EN:DIS MTR_EN:YES
NO_BS[0.61]1268 acc:1.19 inst:1.51 dt:10 pComp:0.01 iComp:0.00 dComp:0.00 FF:0.61 PID:0.61 BRK_EN:DIS MTR_EN:YES
NO_BS[0.61]1277 acc:1.19 inst:1.51 dt:9 pComp:0.01 iComp:0.00 dComp:0.00 FF:0.61 PID:0.61 BRK_EN:DIS MTR_EN:YES
NO_BS[0.61]1288 acc:1.29 inst:1.52 dt:11 pComp:0.00 iComp:0.00 dComp:-0.01 FF:0.61 PID:0.60 BRK_EN:DIS MTR_EN:YES
1297 acc:1.29 inst:1.52 dt:9 pComp:0.00 iComp:0.00 dComp:0.00 FF:0.61 PID:0.61 BRK_EN:DIS MTR_EN:YES
NO_BS[0.61]1306 acc:1.31 inst:1.52 dt:9 pComp:0.00 iComp:0.00 dComp:-0.00 FF:0.61 PID:0.61 BRK_EN:DIS MTR_EN:YES
NO_BS[0.61]1315 acc:1.31 inst:1.53 dt:9 pComp:0.00 iComp:0.00 dComp:0.00 FF:0.61 PID:0.62 BRK_EN:DIS MTR_EN:YES
NO_BS[0.61]1325 acc:1.31 inst:1.53 dt:10 pComp:0.00 iComp:0.00 dComp:0.00 FF:0.61 PID:0.62 BRK_EN:DIS MTR_EN:YES
NO_BS[0.61]1335 acc:1.31 inst:1.53 dt:10 pComp:0.00 iComp:0.00 dComp:0.00 FF:0.61 PID:0.62 BRK_EN:DIS MTR_EN:YES
NO_BS[0.61]1345 acc:1.31 inst:1.54 dt:10 pComp:0.00 iComp:0.00 dComp:0.00 FF:0.61 PID:0.62 BRK_EN:DIS MTR_EN:YES
NO_BS[0.61]1354 acc:1.31 inst:1.54 dt:9 pComp:0.00 iComp:0.00 dComp:0.00 FF:0.61 PID:0.62 BRK_EN:DIS MTR_EN:YES
NO_BS[0.61]1363 acc:1.31 inst:1.55 dt:9 pComp:0.00 iComp:0.00 dComp:0.00 FF:0.61 PID:0.62 BRK_EN:DIS MTR_EN:YES
